processes,size,time
2,800,1.92689
2,800,3.07729
2,800,2.73389
2,800,2.71667
2,800,2.85596
2,800,2.90518
2,800,2.70925
2,900,3.78946
2,900,3.52308
2,900,4.40996
2,900,3.00605
2,900,3.67445
2,900,3.81214
2,900,3.4608
2,900,6.82027
2,900,3.61125
2,900,3.02454
2,1000,3.94942
2,1000,3.82786
2,1000,6.70152
2,1000,3.68385
2,1000,4.88877
2,1000,5.75985
2,1000,4.10059
2,1000,4.72945
2,1000,3.14615
2,1000,3.60089
4,10,0.037459
4,10,0.047091
4,10,0.077896
4,10,0.036763
4,10,0.056656
4,10,0.040161
4,10,0.101485
4,10,0.069052
4,10,0.045061
4,10,0.036405
4,20,0.06006
4,20,0.036278
4,20,0.038491
4,20,0.063099
4,20,0.064115
4,20,0.039358
4,20,0.037528
4,20,0.049643
4,20,0.040145
4,20,0.077993
4,30,0.048385
4,30,0.042697
4,30,0.047029
4,30,0.043793
4,30,0.047994
4,30,0.049165
4,30,0.066531
4,30,0.0465
4,30,0.0458
4,30,0.046507
4,40,0.059421
4,40,0.06371
4,40,0.072099
4,40,0.05836
4,40,0.065447
4,40,0.060583
4,40,0.06063
4,40,0.060722
4,40,0.065328
4,40,0.062271
4,50,0.057711
4,50,0.058235
4,50,0.063084
4,50,0.058746
4,50,0.069438
4,50,0.060309
4,50,0.058859
4,50,0.128499
4,50,0.054323
4,50,0.057672
4,60,0.071133
4,60,0.120042
4,60,0.06814
4,60,0.061823
4,60,0.063606
4,60,0.055728
4,60,0.063807
4,60,0.061763
4,60,0.062872
4,60,0.065043
4,70,0.086191
4,70,0.072263
4,70,0.068913
4,70,0.065195
4,70,0.066929
4,70,0.06549
4,70,0.068012
4,70,0.120334
4,70,0.060569
4,70,0.065201
4,80,0.075041
4,80,0.071481
4,80,0.197607
4,80,0.072396
4,80,0.076226
4,80,0.073837
4,80,0.072931
4,80,0.072167
4,80,0.095512
4,80,0.071286
4,90,0.079467
4,90,0.093501
4,90,0.090168
4,90,0.105193
4,90,0.081561
4,90,0.080837
4,90,0.082032
4,90,0.111233
4,90,0.249895
4,90,0.083021
4,100,0.097922
4,100,0.111902
4,100,0.084259
4,100,0.091746
4,100,0.081959
4,100,0.125943
4,100,0.092317
4,100,0.100965
4,100,0.091955
4,100,0.081588
4,200,0.273663
4,200,0.270864
4,200,0.246589
4,200,0.289757
4,200,0.36569
4,200,0.339219
4,200,0.302899
4,200,0.241565
4,200,0.332727
4,200,0.371313
4,300,0.502591
4,300,0.780791
4,300,0.886462
4,300,0.355901
4,300,0.493802
4,300,0.454035
4,300,0.660705
4,300,0.539302
4,300,0.481512
4,300,0.60862
4,400,1.24165
4,400,1.00595
4,400,1.01092
4,400,1.51589
4,400,0.964264
4,400,1.02078
4,400,0.999775
4,400,0.844763
4,400,0.903813
4,400,1.40705
4,500,0.929531
4,500,2.25233
4,500,1.33777
4,500,1.31306
4,500,2.42326
4,500,1.74454
4,500,0.956218
4,500,2.30954
4,500,1.00125
4,500,1.39008
4,600,3.2339
4,600,3.90719
4,600,2.39682
4,600,2.75522
4,600,2.67239
4,600,3.50773
4,600,3.37266
4,600,2.74989
4,600,2.89576
4,600,2.95383
4,700,3.50534
4,700,6.20796
4,700,3.69671
4,700,4.16952
4,700,6.18348
4,700,4.00743
4,700,2.1243
4,700,2.14643
4,700,4.14646
4,700,2.12069
4,800,5.50002
4,800,7.83575
4,800,4.51723
4,800,2.74826
4,800,7.99583
4,800,8.36102
4,800,5.26087
4,800,4.90119
4,800,7.79053
4,800,2.7368
4,900,3.55805
4,900,11.0266
4,900,6.55697
4,900,3.58946
4,900,6.69059
4,900,6.70221
4,900,12.6504
4,900,3.58087
4,900,10.9671
4,900,6.50474
4,1000,6.81765
4,1000,17.273
4,1000,7.24549
4,1000,4.36044
4,1000,12.332
4,1000,14.9289
4,1000,4.58312
4,1000,16.7936
4,1000,7.8533
4,1000,13.2012
6,10,0.049823
6,10,0.110205
6,10,0.045608
6,10,0.094224
6,10,0.078936
6,10,0.09312
6,10,0.056198
6,10,0.05272
6,10,0.068291
6,10,0.113563
6,20,0.049034
6,20,0.048007
6,20,0.048835
6,20,0.098329
6,20,0.063235
6,20,0.050474
6,20,0.048612
6,20,0.048892
6,20,0.046363
6,20,0.096369
6,30,0.063813
6,30,0.061965
6,30,0.061886
6,30,0.06388
6,30,0.057965
6,30,0.063053
6,30,0.056
6,30,0.056221
6,30,0.057419
6,30,0.058316
6,40,0.071614
6,40,0.071782
6,40,0.073306
6,40,6.05127
6,40,0.076157
6,40,0.07621
6,40,0.066907
6,40,0.102574
6,40,0.076326
6,40,0.067974
6,50,0.098595
6,50,0.097303
6,50,0.099135
6,50,0.104115
6,50,0.1049
6,50,0.104518
6,50,0.095529
6,50,0.098742
6,50,0.104616
6,50,0.598147
6,60,0.112131
6,60,0.111085
6,60,0.112002
6,60,0.114754
6,60,0.115309
6,60,0.116091
6,60,0.105556
6,60,0.114452
6,60,0.118123
6,60,0.115257
6,70,0.124536
6,70,0.25009
6,70,0.119696
6,70,0.122708
6,70,0.111617
6,70,0.119544
6,70,0.185735
6,70,0.125236
6,70,0.115761
6,70,0.129478
6,80,0.114418
6,80,0.130579
6,80,0.124336
6,80,0.126037
6,80,0.129154
6,80,0.121317
6,80,0.116126
6,80,0.121309
6,80,0.119578
6,80,0.329594
6,90,0.130741
6,90,0.126743
6,90,1.0902
6,90,0.131283
6,90,0.12359
6,90,0.162282
6,90,0.131201
6,90,0.130764
6,90,0.137679
6,90,0.142587
6,100,0.147444
6,100,0.136377
6,100,0.139658
6,100,0.26735
6,100,0.145616
6,100,0.187435
6,100,0.137507
6,100,0.132757
6,100,0.281033
6,100,0.138966
6,200,4.92246
6,200,0.322602
6,200,0.296034
6,200,0.318974
6,200,0.34067
6,200,0.284686
6,200,0.236819
6,200,0.326746
6,200,2.03253
6,200,0.238062
6,300,0.581242
6,300,0.540127
6,300,0.553365
6,300,0.617593
6,300,0.666043
6,300,0.673895
6,300,0.631822
6,300,0.527366
6,300,0.564801
6,300,0.590703
6,400,0.9131
6,400,0.706099
6,400,0.929869
6,400,1.03016
6,400,1.19267
6,400,1.07483
6,400,1.15824
6,400,0.97406
6,400,0.959396
6,400,0.868668
6,500,1.28192
6,500,1.44567
6,500,1.11281
6,500,2.22746
6,500,1.37166
6,500,1.87059
6,500,4.74053
6,500,1.67559
6,500,1.91065
6,500,1.22821
6,600,3.7825
6,600,3.73121
6,600,4.14753
6,600,4.57069
6,600,4.17111
6,600,2.49871
6,600,3.63043
6,600,3.80991
6,600,5.08364
6,600,5.20697
6,700,2.7825
6,700,5.99038
6,700,6.94237
6,700,4.40353
6,700,6.41743
6,700,3.16507
6,700,6.1706
6,700,5.33364
6,700,5.41246
6,700,4.89844
6,800,9.65245
6,800,4.91517
6,800,8.23702
6,800,12.4507
6,800,5.71678
6,800,3.20199
6,800,4.17837
6,800,8.62558
6,800,9.13806
6,800,6.28502
6,900,11.2754
6,900,7.91821
6,900,7.77064
6,900,6.96552
6,900,8.87005
6,900,10.5496
6,900,16.9373
6,900,5.9459
6,900,9.83708
6,900,11.4215
6,1000,11.1392
6,1000,16.9771
6,1000,9.36829
6,1000,16.7454
6,1000,9.50094
6,1000,15.4677
6,1000,14.8595
6,1000,11.4604
6,1000,9.57557
6,1000,14.6774
8,10,0.218172
8,10,0.192366
8,10,0.173262
8,10,0.383218
8,10,0.194653
8,10,0.230532
8,10,0.202065
8,10,0.100836
8,10,0.165087
8,10,0.220075
8,20,0.218105
8,20,0.288881
8,20,0.247008
8,20,0.189413
8,20,0.169409
8,20,0.199468
8,20,0.157733
8,20,0.133145
8,20,0.112338
8,20,0.235297
8,30,0.264686
8,30,0.113924
8,30,0.19263
8,30,0.418864
8,30,0.103714
8,30,0.256568
8,30,0.188995
8,30,0.236376
8,30,0.139373
8,30,0.2374
8,40,0.143818
8,40,0.148941
8,40,0.160125
8,40,0.148908
8,40,0.179598
8,40,0.126996
8,40,0.145465
8,40,0.241433
8,40,0.227854
8,40,0.259187
8,50,0.387144
8,50,0.151651
8,50,0.617023
8,50,0.346779
8,50,0.786401
8,50,0.147314
8,50,0.582124
8,50,0.228775
8,50,0.242065
8,50,0.771006
8,60,0.481599
8,60,0.187929
8,60,0.189258
8,60,0.183045
8,60,0.181211
8,60,0.179623
8,60,0.448618
8,60,0.231978
8,60,0.186746
8,60,0.4648
8,70,0.228277
8,70,0.251599
8,70,0.551523
8,70,0.237115
8,70,0.414873
8,70,0.451723
8,70,0.429312
8,70,0.600323
8,70,0.221612
8,70,0.611266
8,80,0.74013
8,80,0.816218
8,80,0.692114
8,80,0.706268
8,80,0.366731
8,80,0.746489
8,80,0.794498
8,80,0.680099
8,80,0.310726
8,80,0.375685
8,90,0.411969
8,90,0.475673
8,90,0.381273
8,90,0.361519
8,90,0.416489
8,90,0.833287
8,90,0.661349
8,90,1.63647
8,90,0.383854
8,90,0.516036
8,100,1.1624
8,100,0.518739
8,100,1.26245
8,100,0.924127
8,100,1.26919
8,100,0.531045
8,100,1.27873
8,100,0.478708
8,100,1.2198
8,100,1.16707
8,200,5.30592
8,200,3.00074
8,200,5.26486
8,200,5.23891
8,200,10.5115
8,200,5.33562
8,200,2.97646
8,200,2.95773
8,200,0.404096
8,200,3.11147
8,300,10.4098
8,300,9.55111
8,300,9.46176
8,300,11.5467
8,300,11.5849
8,300,9.30323
8,300,9.43284
8,300,9.59618
8,300,9.77279
8,300,9.51507
8,400,21.8557
8,400,21.7776
8,400,21.5309
8,400,21.7824
8,400,24.4663
8,400,2.46666
8,400,23.8257
8,400,21.817
8,400,24.0204
8,400,21.7288
8,500,41.8138
8,500,42.2502
8,500,42.035
8,500,42.289
8,500,83.188
8,500,47.5869
8,500,42.0306
8,500,43.3971
8,500,41.6213
8,500,43.4712
8,600,71.7516
8,600,70.4051
8,600,74.7123
8,600,71.8199
8,600,4.11693
8,600,72.5941
8,600,73.2908
8,600,73.216
8,600,71.8457
8,600,73.0744
8,700,113.952
8,700,112.964
8,700,109.999
8,700,4.29902
8,700,119.924
8,700,49.5563
8,700,92.1842
8,700,121.886
8,700,116.318
8,700,3.68972
8,800,165.343
8,800,4.57207
8,800,4.78336
8,800,129.307
8,800,210.35
8,800,173.866
8,800,215.142
8,800,4.68568
8,800,168.795
8,800,119.364
8,900,231.322
8,900,7.49931
8,900,9.41337
8,900,243.449
8,900,101.879
8,900,233.717
8,900,185.403
8,900,305.439
8,900,163.843
8,900,96.662
8,1000,161.938
8,1000,302.265
8,1000,97.669
8,1000,345.253
8,1000,139.264
8,1000,7.11552
8,1000,249.326
8,1000,309.084
8,1000,7.18716
8,1000,331.357
12,10,0.257659
12,10,0.551724
12,10,0.607723
12,10,0.343409
12,10,0.408033
12,10,0.499519
12,10,0.472823
12,10,0.622652
12,10,0.392974
12,10,0.445017
12,20,0.350968
12,20,0.345657
12,20,0.276937
12,20,0.282568
12,20,0.345956
12,20,0.36132
12,20,0.326123
12,20,0.422093
12,20,0.438528
12,20,0.454717
12,30,0.273748
12,30,1.0953
12,30,0.800641
12,30,0.629206
12,30,0.847193
12,30,0.312079
12,30,0.583836
12,30,0.37801
12,30,0.402537
12,30,0.348817
12,40,0.689281
12,40,0.484228
12,40,0.587372
12,40,0.224778
12,40,0.265898
12,40,0.316054
12,40,0.687162
12,40,0.457162
12,40,0.425756
12,40,0.42539
12,50,0.452139
12,50,0.471759
12,50,0.540706
12,50,0.82771
12,50,0.856683
12,50,0.458712
12,50,0.473775
12,50,0.281946
12,50,0.529408
12,50,0.844198
12,60,0.325859
12,60,0.384559
12,60,0.525624
12,60,0.528043
12,60,0.501246
12,60,0.557451
12,60,0.964922
12,60,1.07469
12,60,0.304388
12,60,0.595854
12,70,0.33
12,70,0.433355
12,70,0.647325
12,70,1.68358
12,70,0.362097
12,70,1.11192
12,70,0.812792
12,70,0.670337
12,70,0.705205
12,70,1.19399
12,80,0.799925
12,80,1.35717
12,80,1.43007
12,80,2.0546
12,80,1.4813
12,80,1.44138
12,80,1.43441
12,80,0.544195
12,80,1.45726
12,80,0.859463
12,90,2.51692
12,90,1.75352
12,90,0.981048
12,90,0.544901
12,90,0.810222
12,90,0.531864
12,90,0.568649
12,90,1.20809
12,90,2.47908
12,90,3.08057
12,100,1.63724
12,100,1.67219
12,100,1.61455
12,100,2.21208
12,100,2.25097
12,100,2.27923
12,100,1.6408
12,100,2.19594
12,100,1.46021
12,100,2.24245
12,200,8.81643
12,200,10.6138
12,200,4.73763
12,200,4.29021
12,200,8.95786
12,200,8.82377
12,200,8.74673
12,200,8.73998
12,200,8.82802
12,200,5.26181
12,300,21.3202
12,300,18.7978
12,300,5.72819
12,300,12.9246
12,300,13.3685
12,300,13.9909
12,300,18.9362
12,300,14.4746
12,300,12.8555
12,300,14.0476
12,400,31.9334
12,400,30.0332
12,400,6.38971
12,400,14.8467
12,400,44.322
12,400,17.9441
12,400,29.2483
12,400,42.1792
12,400,45.2717
12,400,29.4025
12,500,29.2992
12,500,67.1786
12,500,56.8401
12,500,23.3373
12,500,59.5303
12,500,40.3763
12,500,84.4625
12,500,29.9912
12,500,29.8296
12,500,66.103
12,600,51.3837
12,600,96.7778
12,600,99.7601
12,600,98.2093
12,600,95.4024
12,600,16.3927
12,600,80.6156
12,600,95.3537
12,600,57.4654
12,600,17.8227
12,700,20.6026
12,700,99.5967
12,700,164.112
12,700,28.5875
12,700,42.9228
12,700,80.6631
12,700,156.208
12,700,181.214
12,700,56.4334
12,700,110.102
12,800,43.743
12,800,256.311
12,800,229.471
12,800,232.996
12,800,228.094
12,800,55.6064
12,800,226.311
12,800,229.163
12,800,72.6468
12,800,287.711
12,900,66.2726
12,900,84.8278
12,900,276.596
12,900,322.2
12,900,339.015
12,900,216.908
12,900,184.588
12,900,238.16
12,900,121.813
12,900,8.33652
12,1000,161.518
12,1000,383.86
12,1000,191.527
12,1000,230.504
12,1000,65.805
12,1000,123.878
12,1000,553.23
12,1000,298.161
12,1000,69.8169
12,1000,167.378
16,10,0.684022
16,10,0.783896
16,10,0.850893
16,10,0.625197
16,10,0.417595
16,10,0.599547
16,10,0.411075
16,10,0.578546
