processes,size,time
1,100,4.17248
1,100,4.16769
1,100,4.41235
1,100,4.1689
1,100,4.26768
1,100,4.27685
1,100,4.18185
1,100,4.177
1,100,4.18518
1,100,4.21027
1,100,4.23213
1,100,4.33118
1,100,4.4576
1,100,4.34911
1,100,4.30296
1,100,4.53047
1,100,4.42816
1,100,4.24147
1,100,4.85136
1,100,4.48945
1,100,4.19151
1,100,4.30171
1,100,4.19282
1,100,4.27101
1,100,4.388
1,100,4.41792
1,100,4.33784
1,100,4.20335
1,100,4.18097
1,100,4.68333
1,100,4.18642
1,100,4.18884
1,100,4.73676
1,100,4.25868
1,100,4.21027
1,100,4.19065
1,100,4.18653
1,100,4.20205
1,100,4.21576
1,100,4.20159
1,100,4.1679
1,100,4.29288
1,100,4.30969
1,100,4.18694
1,100,4.18817
1,100,4.58733
1,100,4.3086
1,100,4.29768
1,100,4.20222
1,100,4.19879
1,100,4.27905
1,100,4.1654
1,100,4.17226
1,100,4.2421
1,100,4.29481
1,100,4.18941
1,100,4.1688
1,100,4.18212
1,100,4.29006
1,100,4.27168
1,100,4.22202
1,100,4.16992
1,100,4.20074
1,100,4.17386
1,100,4.28557
1,100,4.19055
1,100,4.17709
1,100,4.20116
1,100,4.16923
1,100,4.30979
1,100,4.28143
1,100,4.17602
1,100,4.20752
1,100,4.18047
1,100,4.25864
1,100,4.16318
1,100,4.29036
1,100,4.18261
1,100,4.22628
1,100,4.21535
1,100,4.29769
1,100,4.21398
1,100,4.31726
1,100,4.25289
1,100,4.18563
1,100,4.16781
1,100,4.28668
1,100,4.32136
1,100,4.18255
1,100,4.19888
1,100,4.22384
1,100,4.20485
1,100,4.1852
1,100,4.30287
1,100,4.21971
1,100,4.18719
1,100,4.16714
1,100,4.18779
1,100,4.16766
1,100,4.22629
1,100,4.20178
1,100,4.30865
1,100,4.30911
1,100,4.46133
1,100,4.16838
1,100,4.17365
1,100,4.31923
1,100,4.18889
1,100,4.21167
1,100,4.1856
1,100,4.20719
1,100,4.16752
1,100,4.17573
1,100,4.44615
1,100,4.19688
1,100,4.16456
1,100,4.17912
1,100,4.179
1,100,4.16412
1,100,4.20351
1,100,4.29613
1,100,6.72748
1,100,4.24722
1,100,4.46324
1,100,4.72095
1,100,4.18572
1,100,4.27429
1,100,4.3168
1,100,4.27847
1,100,4.16565
1,100,4.19015
1,100,4.30745
1,100,4.28432
1,100,4.1717
1,100,4.16653
1,100,4.17083
1,100,4.2775
1,100,4.17094
1,100,4.20632
1,100,4.30355
1,100,4.18603
1,100,4.19407
1,100,4.18963
1,100,4.42659
1,100,4.32682
1,100,4.20015
1,100,4.44501
1,100,4.31097
1,100,4.22428
1,100,4.20199
1,100,4.1685
1,100,4.19949
1,100,4.16131
1,100,4.18054
1,100,4.29473
1,100,4.23833
1,100,4.25936
1,100,4.32913
1,100,4.18193
1,100,4.16577
1,100,4.1977
1,100,4.18447
1,100,4.28233
1,100,4.21111
1,100,4.20511
1,100,4.29359
1,100,4.20022
1,100,4.19305
1,100,4.17223
1,100,4.31231
1,100,4.15498
1,100,4.29614
1,100,4.16197
1,100,4.20821
1,100,4.15825
1,100,4.19501
1,100,4.31599
1,100,4.16617
1,100,4.16367
1,100,4.15153
1,100,4.54382
1,100,4.31613
1,100,4.30644
1,100,4.18653
1,100,4.22806
1,100,4.40752
1,100,4.18585
1,100,4.18306
1,100,4.16745
1,100,4.33325
1,100,4.19875
1,100,4.18937
1,100,4.18318
1,100,4.31988
1,100,4.31032
1,100,4.17041
1,100,4.18564
1,100,4.16176
1,100,4.19
1,100,4.30218
1,100,4.25494
1,100,4.19259
1,100,4.21207
1,100,4.3304
1,100,4.17218
1,100,4.18325
1,100,4.1688
1,100,4.16889
1,100,4.19833
1,100,4.20128
1,100,4.29125
1,100,4.29499
1,100,4.16378
1,100,4.20757
1,100,4.2909
